id,NEO_PI_R_Anxiety,NEO_PI_R_Activity,TCI_Impulsiveness,TCI_Extravagance,TCI_Disorderliness,TCI_Worry___pessimism,TCI_Fear_of_uncertainty,TCI_Shyness_with_strangers,TCI_Fatigability___asthenia,TCI_Sentimentality,TCI_Warm_communication,TCI_Attachment,NEO_PI_R_Excitement_Seeking,TCI_Dependence,TCI_Eagerness_of_effort,TCI_Work_hardened,TCI_Ambitious,TCI_Perfectionist,TCI_Responsibility,TCI_Purposefulness,TCI_Resourcefulness,TCI_Self_acceptance,TCI_Enlightened_second_nature,NEO_PI_R_Positive_Emotions,TCI_Social_acceptance,TCI_Empathy,TCI_Helpfulness,TCI_Compassion,TCI_Pure_hearted_conscience,TCI_Self_forgetful,TCI_Transpersonal_identification,TCI_Spiritual_acceptance,TCI_Enlightened,TCI_Idealistic,NEO_PI_R_Fantasy,CPI_Dominance,CPI_Capacity_for_Status,CPI_Sociability,CPI_Social_Presence,CPI_Self_acceptance,CPI_Independence,CPI_Empathy,CPI_Responsibility,CPI_Socialization,CPI_Self_control,NEO_PI_R_Aesthetics,CPI_Good_Impression,CPI_Communality,CPI_Well_being,CPI_Tolerance,CPI_Achievement_via_Conformance,CPI_Achievement_via_Independence,CPI_Intellectual_Efficiency,CPI_Psychological_mindedness,CPI_Flexibility,CPI_Femininity,NEO_PI_R_Feelings,CPI_Vector1,CPI_Vector2,CPI_Vector3,CPI_Managerial_Potential,CPI_Work_Orientation,CPI_Creative_Temperament,CPI_Leadership,CPI_Amicability,CPI_Law_Enforcement_Orientation,CPI_Tough_mindedness,NEO_PI_R_Actions,HPI_Empathy,HPI_Not_anxious,HPI_No_guilt,HPI_Calmness,HPI_Even_tempered,HPI_No_somatic_complaints,HPI_Trusting,HPI_Good_attachment,HPI_Competitive,HPI_Self_confidence,NEO_PI_R_Ideas,HPI_No_depression,HPI_Leadership,HPI_Identity,HPI_No_social_anxiety,HPI_Likes_parties,HPI_Likes_crowds,HPI_Experience_seeking,HPI_Exhibitionistic,HPI_Entertaining,HPI_Easy_to_live_with,NEO_PI_R_Values,HPI_Sensitive,HPI_Caring,HPI_Likes_people,HPI_No_hostility,HPI_Moralistic,HPI_Mastery,HPI_Virtuous,HPI_not_autonomous,HPI_Not_spontaneous,HPI_Impulse_control,NEO_PI_R_Trust,HPI_Avoids_trouble,HPI_Science_ability,HPI_Curiosity,HPI_Thrill_seeking,HPI,HPI_Generates_ideas,HPI_Culture,HPI_Education,HPI_Good_memory,NEO_PI_R_Angry_Hostility,NEO_PI_R_Straightforwardness,HPI_Reading,HPI_Self_focus,HPI_Impression_management,HPI_Appearance,NEO_PI_R_Altruism,NEO_PI_R_Compliance,NEO_PI_R_Modesty,NEO_PI_R_Tender_Mindedness,NEO_PI_R_Competence,NEO_PI_R_Order,NEO_PI_R_Dutifulness,NEO_PI_R_Achievement_Striving,NEO_PI_R_Self_Discipline,NEO_PI_R_Depression,NEO_PI_R_Deliberation,HEXACO_PI_Sincerity,HEXACO_PI_Fairness,HEXACO_PI_Greed_Avoidance,HEXACO_PI_Modesty,HEXACO_PI_Fearfulness,HEXACO_PI_Anxiety,HEXACO_PI_Dependence,HEXACO_PI_Sentimentality,HEXACO_PI_Expressiveness,NEO_PI_R_Self_Consciousness,HEXACO_PI_Social_Boldness,HEXACO_PI_Sociability,HEXACO_PI_Liveliness,HEXACO_PI_Forgiveness,HEXACO_PI_Gentleness,HEXACO_PI_Flexibility,HEXACO_PI_Patience,HEXACO_PI_Organization,HEXACO_PI_Diligence,HEXACO_PI_Perfectionism,NEO_PI_R_Impulsiveness,HEXACO_PI_Prudence,HEXACO_PI_Aesthetic_Appreciation,HEXACO_PI_Inquisitiveness,HEXACO_PI_Creativity,HEXACO_PI_Unconventionality,JPI_R_Complexity,JPI_R_Breadth_of_Interest,JPI_R_Innovation,JPI_R_Tolerance,JPI_R_Empathy,NEO_PI_R_Vulnerability,JPI_R_Anxiety,JPI_R_Cooperativeness,JPI_R_Sociability,JPI_R_Social_Confidence,JPI_R_Energy_Level,JPI_R_Social_Astuteness,JPI_R_Risk_Taking,JPI_R_Organization,JPI_R_Traditional_Values,JPI_R_Responsibility,NEO_PI_R_Warmth,MPQ_Well_being,MPQ_Social_Potency,MPQ_Achievement,MPQ_Social_Closeness,MPQ_Stress_Reaction,MPQ_Aggression,MPQ_Alienation,MPQ_Control,MPQ_Harm_avoidance,MPQ_Traditionalism,NEO_PI_R_Gregariousness,MPQ_Absorption,aa_6_FPQ_Affiliation,aa_6_FPQ_Dominance,aa_6_FPQ_Exhibition,aa_6_FPQ_Abasement,aa_6_FPQ_Even_tempered,aa_6_FPQ_Good_natured,aa_6_FPQ_Cognitive_Structure,aa_6_FPQ_Deliberativeness,aa_6_FPQ_Order,NEO_PI_R_Assertiveness,aa_6_FPQ_Autonomy,aa_6_FPQ_Individualism,aa_6_FPQ_Self_Reliance,aa_6_FPQ_Change,aa_6_FPQ_Understanding,aa_6_FPQ_Breadth_of_Interest,aa_6_FPQ_Achievement,aa_6_FPQ_Endurance,aa_6_FPQ_Seriousness,TCI_Exploratory_Excitability,CLS,PerspectiveTaking,FantasyScale,EmpathicConcern,PersonalDistress,Christian,Jewish,Muslim,Buddhist,RespForHardship,Liberal,Conservative,SES,Event_number,tender,careR,connected,distress,upsetR,guilty,simInterests,simJoysR,simMorals,simEcon,simEdu,simSocPos,needMoneyR,needOrg,needHelp,resp,blame,unjust,inspired,likeMeet,trust,likelytohelp,donatetotheircharity,PosEmpathy,NegEmpathy,InternalSimilarity,ExternalSimilarity,Neediness,Responsibility,Likability,DonationScale,donation,hardship,sent1,sent2,sent3,subj_eth,subj_gender,subj_religion,target_eth,target_gender,targ_relig,target_image_id,target_name_id,PosEmpathy_mc,NegEmpathy_mc,Neediness_mc,Responsibility_mc,Likability_mc,InternalSimilarity_mc,ExternalSimilarity_mc,donation_mc,simGender,simEth,simRelig,
0,9,21,7,5,5,6,10,12,6,20,20,10,15,13,24,24,20,21,24,22,23,19,25,23,25,23,25,25,23,12,17,25,25,25,14,14,16,19,18,17,23,20,25,25,25,24,25,23,25,23,23,23,25,25,10,15,15,19,24,23,23,25,13,21,25,25,25,21,25,24,25,24,25,24,25,25,22,22,25,23,12,23,20,17,17,24,7,18,25,6,23,21,15,25,20,22,25,9,24,25,25,20,16,20,17,16,14,25,23,25,5,25,24,8,5,13,24,25,23,25,25,20,25,20,25,6,23,23,25,23,23,13,9,15,20,11,10,14,15,21,23,25,23,25,20,24,23,5,23,24,25,17,18,17,23,17,20,17,8,6,6,18,19,23,9,11,22,25,25,19,25,9,21,18,6,5,5,23,18,18,18,13,17,11,13,22,25,21,21,23,23,16,13,20,10,25,24,24,24,25,15,20,143,32,35,34,14,20,20,18,18,11,12,32,28,1,6,7,4,4,5,2,1,1,3,3,1,1,5,5,5,4,4,4,2,7,3,7,1,17,11,5,5,15,12,12,8,1,7,239,98,71,2,2,1,2,2,5,30,17,0,0,1.533,5.533,-2.267,-2.200,-1.133,-1.133,1,1,0,
0,9,21,7,5,5,6,10,12,6,20,20,10,15,13,24,24,20,21,24,22,23,19,25,23,25,23,25,25,23,12,17,25,25,25,14,14,16,19,18,17,23,20,25,25,25,24,25,23,25,23,23,23,25,25,10,15,15,19,24,23,23,25,13,21,25,25,25,21,25,24,25,24,25,24,25,25,22,22,25,23,12,23,20,17,17,24,7,18,25,6,23,21,15,25,20,22,25,9,24,25,25,20,16,20,17,16,14,25,23,25,5,25,24,8,5,13,24,25,23,25,25,20,25,20,25,6,23,23,25,23,23,13,9,15,20,11,10,14,15,21,23,25,23,25,20,24,23,5,23,24,25,17,18,17,23,17,20,17,8,6,6,18,19,23,9,11,22,25,25,19,25,9,21,18,6,5,5,23,18,18,18,13,17,11,13,22,25,21,21,23,23,16,13,20,10,25,24,24,24,25,15,20,143,32,35,34,14,20,20,18,18,11,12,32,28,2,5,7,4,4,6,1,1,1,4,2,1,1,2,4,6,4,5,4,2,7,6,7,3,16,11,6,4,12,11,15,10,3,2,127,72,6,2,2,1,1,2,-1,38,12,-1,0,-1.467,4.533,0.733,-1.200,-2.133,0.867,1,0,0,
0,9,21,7,5,5,6,10,12,6,20,20,10,15,13,24,24,20,21,24,22,23,19,25,23,25,23,25,25,23,12,17,25,25,25,14,14,16,19,18,17,23,20,25,25,25,24,25,23,25,23,23,23,25,25,10,15,15,19,24,23,23,25,13,21,25,25,25,21,25,24,25,24,25,24,25,25,22,22,25,23,12,23,20,17,17,24,7,18,25,6,23,21,15,25,20,22,25,9,24,25,25,20,16,20,17,16,14,25,23,25,5,25,24,8,5,13,24,25,23,25,25,20,25,20,25,6,23,23,25,23,23,13,9,15,20,11,10,14,15,21,23,25,23,25,20,24,23,5,23,24,25,17,18,17,23,17,20,17,8,6,6,18,19,23,9,11,22,25,25,19,25,9,21,18,6,5,5,23,18,18,18,13,17,11,13,22,25,21,21,23,23,16,13,20,10,25,24,24,24,25,15,20,143,32,35,34,14,20,20,18,18,11,12,32,28,3,5,7,4,5,6,1,1,1,4,2,2,2,4,5,5,7,7,5,2,7,5,7,5,16,12,6,6,14,5,14,12,5,16,249,7,30,2,2,1,2,1,-1,1,6,-1,1,0.533,-1.467,-0.267,-1.200,-0.133,2.867,0,1,0,
0,9,21,7,5,5,6,10,12,6,20,20,10,15,13,24,24,20,21,24,22,23,19,25,23,25,23,25,25,23,12,17,25,25,25,14,14,16,19,18,17,23,20,25,25,25,24,25,23,25,23,23,23,25,25,10,15,15,19,24,23,23,25,13,21,25,25,25,21,25,24,25,24,25,24,25,25,22,22,25,23,12,23,20,17,17,24,7,18,25,6,23,21,15,25,20,22,25,9,24,25,25,20,16,20,17,16,14,25,23,25,5,25,24,8,5,13,24,25,23,25,25,20,25,20,25,6,23,23,25,23,23,13,9,15,20,11,10,14,15,21,23,25,23,25,20,24,23,5,23,24,25,17,18,17,23,17,20,17,8,6,6,18,19,23,9,11,22,25,25,19,25,9,21,18,6,5,5,23,18,18,18,13,17,11,13,22,25,21,21,23,23,16,13,20,10,25,24,24,24,25,15,20,143,32,35,34,14,20,20,18,18,11,12,32,28,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,
0,9,21,7,5,5,6,10,12,6,20,20,10,15,13,24,24,20,21,24,22,23,19,25,23,25,23,25,25,23,12,17,25,25,25,14,14,16,19,18,17,23,20,25,25,25,24,25,23,25,23,23,23,25,25,10,15,15,19,24,23,23,25,13,21,25,25,25,21,25,24,25,24,25,24,25,25,22,22,25,23,12,23,20,17,17,24,7,18,25,6,23,21,15,25,20,22,25,9,24,25,25,20,16,20,17,16,14,25,23,25,5,25,24,8,5,13,24,25,23,25,25,20,25,20,25,6,23,23,25,23,23,13,9,15,20,11,10,14,15,21,23,25,23,25,20,24,23,5,23,24,25,17,18,17,23,17,20,17,8,6,6,18,19,23,9,11,22,25,25,19,25,9,21,18,6,5,5,23,18,18,18,13,17,11,13,22,25,21,21,23,23,16,13,20,10,25,24,24,24,25,15,20,143,32,35,34,14,20,20,18,18,11,12,32,28,5,6,7,5,4,6,1,5,1,4,1,1,1,4,4,4,7,7,6,7,7,6,7,1,18,11,10,3,12,4,20,8,1,6,166,73,12,2,2,1,2,2,-1,22,7,1,0,-1.467,-2.467,5.733,2.800,-3.133,-1.133,1,1,0,
0,9,21,7,5,5,6,10,12,6,20,20,10,15,13,24,24,20,21,24,22,23,19,25,23,25,23,25,25,23,12,17,25,25,25,14,14,16,19,18,17,23,20,25,25,25,24,25,23,25,23,23,23,25,25,10,15,15,19,24,23,23,25,13,21,25,25,25,21,25,24,25,24,25,24,25,25,22,22,25,23,12,23,20,17,17,24,7,18,25,6,23,21,15,25,20,22,25,9,24,25,25,20,16,20,17,16,14,25,23,25,5,25,24,8,5,13,24,25,23,25,25,20,25,20,25,6,23,23,25,23,23,13,9,15,20,11,10,14,15,21,23,25,23,25,20,24,23,5,23,24,25,17,18,17,23,17,20,17,8,6,6,18,19,23,9,11,22,25,25,19,25,9,21,18,6,5,5,23,18,18,18,13,17,11,13,22,25,21,21,23,23,16,13,20,10,25,24,24,24,25,15,20,143,32,35,34,14,20,20,18,18,11,12,32,28,6,6,7,5,7,7,1,1,1,4,1,1,1,1,7,7,7,7,6,1,7,4,7,6,18,15,6,3,15,4,12,13,6,9,179,37,13,2,2,1,2,1,-1,9,14,1,4,1.533,-2.467,-2.267,-1.200,-3.133,3.867,0,1,0,
0,9,21,7,5,5,6,10,12,6,20,20,10,15,13,24,24,20,21,24,22,23,19,25,23,25,23,25,25,23,12,17,25,25,25,14,14,16,19,18,17,23,20,25,25,25,24,25,23,25,23,23,23,25,25,10,15,15,19,24,23,23,25,13,21,25,25,25,21,25,24,25,24,25,24,25,25,22,22,25,23,12,23,20,17,17,24,7,18,25,6,23,21,15,25,20,22,25,9,24,25,25,20,16,20,17,16,14,25,23,25,5,25,24,8,5,13,24,25,23,25,25,20,25,20,25,6,23,23,25,23,23,13,9,15,20,11,10,14,15,21,23,25,23,25,20,24,23,5,23,24,25,17,18,17,23,17,20,17,8,6,6,18,19,23,9,11,22,25,25,19,25,9,21,18,6,5,5,23,18,18,18,13,17,11,13,22,25,21,21,23,23,16,13,20,10,25,24,24,24,25,15,20,143,32,35,34,14,20,20,18,18,11,12,32,28,7,7,7,5,6,7,1,1,1,3,1,1,1,2,7,6,7,7,6,1,7,5,7,6,19,14,5,3,15,4,13,13,6,8,173,42,84,2,2,1,1,2,5,34,24,2,3,1.533,-2.467,-1.267,-2.200,-3.133,3.867,1,0,0,
0,9,21,7,5,5,6,10,12,6,20,20,10,15,13,24,24,20,21,24,22,23,19,25,23,25,23,25,25,23,12,17,25,25,25,14,14,16,19,18,17,23,20,25,25,25,24,25,23,25,23,23,23,25,25,10,15,15,19,24,23,23,25,13,21,25,25,25,21,25,24,25,24,25,24,25,25,22,22,25,23,12,23,20,17,17,24,7,18,25,6,23,21,15,25,20,22,25,9,24,25,25,20,16,20,17,16,14,25,23,25,5,25,24,8,5,13,24,25,23,25,25,20,25,20,25,6,23,23,25,23,23,13,9,15,20,11,10,14,15,21,23,25,23,25,20,24,23,5,23,24,25,17,18,17,23,17,20,17,8,6,6,18,19,23,9,11,22,25,25,19,25,9,21,18,6,5,5,23,18,18,18,13,17,11,13,22,25,21,21,23,23,16,13,20,10,25,24,24,24,25,15,20,143,32,35,34,14,20,20,18,18,11,12,32,28,8,6,7,5,1,3,1,5,4,5,4,4,4,4,4,4,7,7,5,1,7,5,7,1,18,5,14,12,12,5,13,8,1,13,211,22,85,2,2,1,1,2,1,31,23,1,-6,-1.467,-1.467,-1.267,6.800,5.867,-1.133,1,0,1,
0,9,21,7,5,5,6,10,12,6,20,20,10,15,13,24,24,20,21,24,22,23,19,25,23,25,23,25,25,23,12,17,25,25,25,14,14,16,19,18,17,23,20,25,25,25,24,25,23,25,23,23,23,25,25,10,15,15,19,24,23,23,25,13,21,25,25,25,21,25,24,25,24,25,24,25,25,22,22,25,23,12,23,20,17,17,24,7,18,25,6,23,21,15,25,20,22,25,9,24,25,25,20,16,20,17,16,14,25,23,25,5,25,24,8,5,13,24,25,23,25,25,20,25,20,25,6,23,23,25,23,23,13,9,15,20,11,10,14,15,21,23,25,23,25,20,24,23,5,23,24,25,17,18,17,23,17,20,17,8,6,6,18,19,23,9,11,22,25,25,19,25,9,21,18,6,5,5,23,18,18,18,13,17,11,13,22,25,21,21,23,23,16,13,20,10,25,24,24,24,25,15,20,143,32,35,34,14,20,20,18,18,11,12,32,28,9,5,7,4,5,5,1,5,1,3,1,3,3,3,4,3,7,7,5,1,7,5,7,1,16,11,9,7,10,5,13,8,1,10,191,8,43,2,2,1,2,1,-1,5,5,-1,0,-3.467,-1.467,-1.267,1.800,0.867,-1.133,0,1,0,
0,9,21,7,5,5,6,10,12,6,20,20,10,15,13,24,24,20,21,24,22,23,19,25,23,25,23,25,25,23,12,17,25,25,25,14,14,16,19,18,17,23,20,25,25,25,24,25,23,25,23,23,23,25,25,10,15,15,19,24,23,23,25,13,21,25,25,25,21,25,24,25,24,25,24,25,25,22,22,25,23,12,23,20,17,17,24,7,18,25,6,23,21,15,25,20,22,25,9,24,25,25,20,16,20,17,16,14,25,23,25,5,25,24,8,5,13,24,25,23,25,25,20,25,20,25,6,23,23,25,23,23,13,9,15,20,11,10,14,15,21,23,25,23,25,20,24,23,5,23,24,25,17,18,17,23,17,20,17,8,6,6,18,19,23,9,11,22,25,25,19,25,9,21,18,6,5,5,23,18,18,18,13,17,11,13,22,25,21,21,23,23,16,13,20,10,25,24,24,24,25,15,20,143,32,35,34,14,20,20,18,18,11,12,32,28,10,5,7,4,1,4,1,1,1,3,1,1,1,4,4,3,7,7,6,6,7,5,7,1,16,6,5,3,11,4,18,8,1,14,223,61,9,2,2,1,1,1,-1,16,20,-1,-5,-2.467,-2.467,3.733,-2.200,-3.133,-1.133,0,0,0,
